city_id,city_name,region_name,year,days_observed,mean_available_hours,median_available_hours,share_days_ge18,mean_exceedance_share
224,Шепетівка,Хмельницька область,2025,32,23.09375,24.0,0.9375,0.33636025432900435
245,Львів,Львівська область,2019,217,23.47926267281106,24.0,0.9631336405529954,0.4216391965005646
245,Львів,Львівська область,2020,366,23.934426229508198,24.0,0.994535519125683,0.433563231830338
245,Львів,Львівська область,2021,365,23.958904109589042,24.0,0.9972602739726028,0.5821409866453484
245,Львів,Львівська область,2022,365,24.016438356164382,24.0,1.0,0.23028134878819811
245,Львів,Львівська область,2023,365,24.0,24.0,1.0,0.17557573952749653
245,Львів,Львівська область,2024,366,23.950819672131146,24.0,0.9972677595628415,0.12172131147540984
245,Львів,Львівська область,2025,32,23.6875,24.0,0.96875,0.174705615942029
249,Чернівці,Чернівецька область,2019,191,22.952879581151834,24.0,0.9476439790575916,0.22230686294202412
249,Чернівці,Чернівецька область,2020,345,22.744927536231884,24.0,0.9246376811594202,0.24589158268579983
249,Чернівці,Чернівецька область,2021,364,23.64835164835165,24.0,0.978021978021978,0.29932572750793573
249,Чернівці,Чернівецька область,2022,364,23.72252747252747,24.0,0.9835164835164835,0.2897333678948774
249,Чернівці,Чернівецька область,2023,365,24.0,24.0,1.0,0.38478995433789953
249,Чернівці,Чернівецька область,2024,366,23.975409836065573,24.0,0.9972677595628415,0.29601098988126784
249,Чернівці,Чернівецька область,2025,32,23.71875,24.0,0.96875,0.6636753941441441
254,Вінниця,Вінницька область,2019,128,22.234375,24.0,0.890625,0.47380374261988967
254,Вінниця,Вінницька область,2020,366,22.98087431693989,24.0,0.9344262295081968,0.46112229297977886
254,Вінниця,Вінницька область,2021,272,23.606617647058822,24.0,0.9779411764705882,0.38024016424751717
254,Вінниця,Вінницька область,2022,247,23.02834008097166,24.0,0.9473684210526315,0.1966963489513263
254,Вінниця,Вінницька область,2023,365,23.75068493150685,24.0,0.9972602739726028,0.1638764324676365
254,Вінниця,Вінницька область,2024,366,23.934426229508198,24.0,0.994535519125683,0.1754673200445418
254,Вінниця,Вінницька область,2025,32,23.5625,24.0,0.96875,0.16903454794079795
261,Підгородне,Дніпропетровська область,2019,185,22.778378378378378,24.0,0.9243243243243243,0.6294614511046737
261,Підгородне,Дніпропетровська область,2020,234,22.05982905982906,24.0,0.8760683760683761,0.3494287084055611
261,Підгородне,Дніпропетровська область,2021,266,22.06390977443609,24.0,0.8872180451127819,0.11160158598821045
261,Підгородне,Дніпропетровська область,2022,125,23.328,24.0,0.96,0.047615384615384615
261,Підгородне,Дніпропетровська область,2023,365,23.45205479452055,24.0,0.9698630136986301,0.09230187919489195
261,Підгородне,Дніпропетровська область,2024,348,22.580459770114942,24.0,0.9080459770114943,0.11191210215705322
261,Підгородне,Дніпропетровська область,2025,32,23.71875,24.0,0.96875,0.2223043355855856
272,Суми,Сумська область,2019,151,22.264900662251655,24.0,0.9006622516556292,0.31184948136652973
272,Суми,Сумська область,2020,352,22.52840909090909,24.0,0.9034090909090909,0.23393447135368478
272,Суми,Сумська область,2021,338,23.606508875739646,24.0,0.9733727810650887,0.2354420638899086
272,Суми,Сумська область,2022,60,23.233333333333334,24.0,0.95,0.125
272,Суми,Сумська область,2023,291,23.93127147766323,24.0,0.9965635738831615,0.015109724483028877
272,Суми,Сумська область,2024,366,23.852459016393443,24.0,0.9890710382513661,0.04856964546547793
272,Суми,Сумська область,2025,32,23.71875,24.0,0.96875,0.022135416666666668
303,Слов'янськ,Донецька область,2019,110,22.69090909090909,24.0,0.9272727272727272,0.41158510001197746
303,Слов'янськ,Донецька область,2020,366,23.937158469945356,24.0,0.9972677595628415,0.2789222139427057
303,Слов'янськ,Донецька область,2021,365,23.863013698630137,24.0,0.9917808219178083,0.3117148085032007
303,Слов'янськ,Донецька область,2022,365,23.69041095890411,24.0,0.9808219178082191,0.15802262341939322
303,Слов'янськ,Донецька область,2023,111,21.34234234234234,24.0,0.8378378378378378,0.12738225238225237
